season,driver,team,races,total_points,avg_grid_position,avg_finish_position,podiums,wins,points_finishes,estimated_overtakes,points_per_race,podium_rate,points_finish_rate,overtakes_per_race,qualifying_score,points_norm,qualifying_norm,podium_norm,overtake_norm,performance_score,season_percentile,driver_class
2023,BOT,Alfa Romeo,5,4.0,13.6,13.6,0,0,1,12.0,0.8,0.0,0.2,2.4,5.000000000000002,0.035398230088495575,0.28985507246376824,0.0,0.5714285714285714,0.13281298667985858,0.4,Average
2023,DEV,AlphaTauri,5,0.0,17.0,16.2,0,0,0,9.0,0.0,0.0,0.0,1.8,1.6000000000000014,0.0,0.04347826086956532,0.0,0.42857142857142855,0.05155279503105592,0.1,Weak
2023,GAS,Alpine F1 Team,5,8.0,12.0,10.6,0,0,3,14.0,1.6,0.0,0.6,2.8,6.600000000000001,0.07079646017699115,0.40579710144927544,0.0,0.6666666666666666,0.18322431704501735,0.6,Strong
2023,HAM,Mercedes,5,54.0,7.0,4.8,1,0,5,12.0,10.8,0.2,1.0,2.4,11.600000000000001,0.4778761061946903,0.7681159420289856,0.2,0.5714285714285714,0.4897040986459995,0.85,Elite
2023,HUL,Haas F1 Team,5,6.0,12.4,13.2,0,0,1,6.0,1.2,0.0,0.2,1.2,6.200000000000001,0.05309734513274336,0.3768115942028986,0.0,0.2857142857142857,0.13048241997837998,0.35,Average
2023,LEC,Ferrari,5,27.0,6.0,11.2,1,0,3,5.0,5.4,0.2,0.6,1.0,12.600000000000001,0.23893805309734514,0.8405797101449276,0.2,0.23809523809523808,0.3513944923871819,0.7,Strong
2023,MAG,Haas F1 Team,5,2.0,12.8,12.6,0,0,2,10.0,0.4,0.0,0.4,2.0,5.800000000000001,0.017699115044247787,0.3478260869565218,0.0,0.47619047619047616,0.12603382253247586,0.3,Average
2023,NOR,McLaren,5,10.0,13.2,13.2,0,0,2,9.0,2.0,0.0,0.4,1.8,5.400000000000002,0.08849557522123894,0.31884057971014507,0.0,0.42857142857142855,0.15087304640979132,0.55,Strong
2023,OCO,Alpine F1 Team,5,6.0,10.6,12.8,0,0,2,4.0,1.2,0.0,0.4,0.8,8.000000000000002,0.05309734513274336,0.5072463768115943,0.0,0.19047619047619047,0.1470455669763096,0.5,Average
2023,PER,Red Bull,5,97.0,5.4,2.2,4,2,5,17.0,19.4,0.8,1.0,3.4,13.200000000000001,0.8584070796460177,0.8840579710144928,0.8,0.8095238095238095,0.8469675149782885,0.95,Elite
2023,PIA,McLaren,5,4.0,14.2,14.6,0,0,1,8.0,0.8,0.0,0.2,1.6,4.400000000000002,0.035398230088495575,0.24637681159420305,0.0,0.38095238095238093,0.1050697154583265,0.25,Average
2023,RUS,Mercedes,5,35.0,5.6,8.2,0,0,4,5.0,7.0,0.0,0.8,1.0,13.000000000000002,0.30973451327433627,0.8695652173913044,0.0,0.23809523809523808,0.35258982392495286,0.75,Strong
2023,SAI,Ferrari,5,40.0,4.0,6.4,0,0,4,0.0,8.0,0.0,0.8,0.0,14.600000000000001,0.35398230088495575,0.9855072463768116,0.0,0.0,0.3740925997178402,0.8,Strong
2023,SAR,Williams,5,0.0,17.6,16.0,0,0,0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.47619047619047616,0.047619047619047616,0.05,Weak
2023,STR,Aston Martin,5,26.0,9.2,9.8,0,0,3,12.0,5.2,0.0,0.6,2.4,9.400000000000002,0.23008849557522124,0.6086956521739132,0.0,0.5714285714285714,0.2939262353652504,0.65,Strong
2023,TSU,AlphaTauri,5,2.0,13.4,10.6,0,0,2,16.0,0.4,0.0,0.4,3.2,5.200000000000001,0.017699115044247787,0.3043478260869566,0.0,0.7619047619047619,0.14590959892999142,0.45,Average
2023,VER,Red Bull,5,113.0,5.6,1.4,5,3,5,21.0,22.6,1.0,1.0,4.2,13.000000000000002,1.0,0.8695652173913044,1.0,1.0,0.9739130434782609,1.0,Elite
2023,ZHO,Alfa Romeo,5,2.0,14.0,14.6,0,0,1,8.0,0.4,0.0,0.2,1.6,4.600000000000001,0.017699115044247787,0.2608695652173914,0.0,0.38095238095238093,0.09911870866084027,0.15,Weak
2024,ALB,Williams,5,0.0,13.0,13.8,0,0,0,4.0,0.0,0.0,0.0,0.8,7.0,0.0,0.3333333333333333,0.0,0.25,0.09166666666666667,0.23809523809523808,Weak
2024,ALO,Aston Martin,5,31.0,5.6,7.0,0,0,5,2.0,6.2,0.0,1.0,0.4,14.4,0.30392156862745096,0.7444444444444445,0.0,0.125,0.31334967320261436,0.6666666666666666,Strong
2024,BEA,Ferrari,1,6.0,11.0,7.0,0,0,1,4.0,6.0,0.0,1.0,4.0,9.0,0.058823529411764705,0.4444444444444444,0.0,0.25,0.14330065359477123,0.47619047619047616,Average
2024,BOT,Sauber,5,0.0,13.6,16.8,0,0,0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.30000000000000004,0.0,0.0,0.06000000000000001,0.047619047619047616,Weak
2024,GAS,Alpine F1 Team,5,0.0,17.4,16.0,0,0,0,9.0,0.0,0.0,0.0,1.8,2.6000000000000014,0.0,0.08888888888888896,0.0,0.5625,0.07402777777777779,0.14285714285714285,Weak
2024,HAM,Mercedes,5,12.0,10.6,10.4,0,0,4,11.0,2.4,0.0,0.8,2.2,9.4,0.11764705882352941,0.4666666666666667,0.0,0.6875,0.22090686274509805,0.6190476190476191,Strong
2024,HUL,Haas F1 Team,5,4.0,12.4,11.2,0,0,3,13.0,0.8,0.0,0.6,2.6,7.6,0.0392156862745098,0.36666666666666664,0.0,0.8125,0.17419117647058824,0.5238095238095238,Average
2024,LEC,Ferrari,5,71.0,4.4,3.4,2,0,5,8.0,14.2,0.4,1.0,1.6,15.6,0.696078431372549,0.8111111111111111,0.5,0.5,0.6602614379084968,0.8095238095238095,Strong
2024,MAG,Haas F1 Team,5,1.0,15.4,12.6,0,0,1,14.0,0.2,0.0,0.2,2.8,4.6,0.00980392156862745,0.19999999999999998,0.0,0.875,0.13240196078431374,0.42857142857142855,Average
2024,NOR,McLaren,6,80.0,4.666666666666667,4.166666666666667,3,1,6,7.0,13.333333333333334,0.5,1.0,1.1666666666666667,15.333333333333332,0.7843137254901961,0.7962962962962963,0.75,0.4375,0.7451661220043573,0.9047619047619048,Elite
2024,OCO,Alpine F1 Team,5,0.0,15.8,14.4,0,0,0,8.0,0.0,0.0,0.0,1.6,4.199999999999999,0.0,0.17777777777777773,0.0,0.5,0.08555555555555555,0.19047619047619047,Weak
2024,PER,Red Bull,5,79.0,3.6,2.8,4,0,5,5.0,15.8,0.8,1.0,1.0,16.4,0.7745098039215687,0.8555555555555555,1.0,0.3125,0.7896160130718954,0.9523809523809523,Elite
2024,PIA,McLaren,5,36.0,5.8,6.4,0,0,5,2.0,7.2,0.0,1.0,0.4,14.2,0.35294117647058826,0.7333333333333333,0.0,0.125,0.3356372549019608,0.7619047619047619,Strong
2024,RIC,RB F1 Team,5,0.0,13.8,15.6,0,0,0,7.0,0.0,0.0,0.0,1.4,6.199999999999999,0.0,0.28888888888888886,0.0,0.4375,0.10152777777777777,0.2857142857142857,Average
2024,RUS,Mercedes,5,32.0,6.8,8.2,0,0,4,5.0,6.4,0.0,0.8,1.0,13.2,0.3137254901960784,0.6777777777777777,0.0,0.3125,0.32366830065359475,0.7142857142857143,Strong
2024,SAI,Ferrari,4,65.0,4.25,3.0,3,1,4,5.0,16.25,0.75,1.0,1.25,15.75,0.6372549019607843,0.8194444444444444,0.75,0.3125,0.663766339869281,0.8571428571428571,Elite
2024,SAR,Williams,4,0.0,19.0,17.0,0,0,0,10.0,0.0,0.0,0.0,2.5,1.0,0.0,0.0,0.0,0.625,0.0625,0.09523809523809523,Weak
2024,STR,Aston Martin,5,9.0,11.6,12.4,0,0,2,9.0,1.8,0.0,0.4,1.8,8.4,0.08823529411764706,0.41111111111111115,0.0,0.5625,0.18258986928104576,0.5714285714285714,Strong
