season,round,race_name,race_date,circuit,driver,team,grid_position,finish_position,winner
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,PER,Red Bull,3,1,1
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,VER,Red Bull,2,2,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,LEC,Ferrari,1,3,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,ALO,Aston Martin,6,4,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,SAI,Ferrari,4,5,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,HAM,Mercedes,5,6,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,STR,Aston Martin,9,7,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,RUS,Mercedes,11,8,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,NOR,McLaren,7,9,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,TSU,AlphaTauri,8,10,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,PIA,McLaren,10,11,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,ALB,Williams,12,12,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,MAG,Haas F1 Team,16,13,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,GAS,Alpine F1 Team,17,14,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,OCO,Alpine F1 Team,19,15,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,SAR,Williams,14,16,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,HUL,Haas F1 Team,20,17,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,BOT,Alfa Romeo,13,18,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,ZHO,Alfa Romeo,15,19,0
2023,4,Azerbaijan Grand Prix,2023-04-30,Baku City Circuit,DEV,AlphaTauri,18,20,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,VER,Red Bull,9,1,1
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,PER,Red Bull,1,2,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,ALO,Aston Martin,2,3,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,RUS,Mercedes,6,4,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,SAI,Ferrari,3,5,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,HAM,Mercedes,13,6,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,LEC,Ferrari,7,7,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,GAS,Alpine F1 Team,5,8,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,OCO,Alpine F1 Team,8,9,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,MAG,Haas F1 Team,4,10,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,TSU,AlphaTauri,17,11,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,STR,Aston Martin,18,12,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,BOT,Alfa Romeo,10,13,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,ALB,Williams,11,14,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,HUL,Haas F1 Team,12,15,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,ZHO,Alfa Romeo,14,16,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,NOR,McLaren,16,17,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,DEV,AlphaTauri,15,18,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,PIA,McLaren,19,19,0
2023,5,Miami Grand Prix,2023-05-07,Miami International Autodrome,SAR,Williams,20,20,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,VER,Red Bull,1,1,1
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,PER,Red Bull,5,2,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,SAI,Ferrari,4,3,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,LEC,Ferrari,2,4,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,RUS,Mercedes,3,5,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,NOR,McLaren,7,6,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,HAM,Mercedes,9,7,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,PIA,McLaren,8,8,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,ALO,Aston Martin,6,9,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,STR,Aston Martin,12,10,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,ZHO,Sauber,17,11,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,MAG,Haas F1 Team,15,12,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,RIC,RB F1 Team,14,13,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,TSU,RB F1 Team,11,14,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,ALB,Williams,13,15,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,HUL,Haas F1 Team,10,16,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,OCO,Alpine F1 Team,19,17,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,GAS,Alpine F1 Team,20,18,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,BOT,Sauber,16,19,0
2024,1,Bahrain Grand Prix,2024-03-02,Bahrain International Circuit,SAR,Williams,18,20,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,VER,Red Bull,1,1,1
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,PER,Red Bull,3,2,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,LEC,Ferrari,2,3,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,PIA,McLaren,5,4,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,ALO,Aston Martin,4,5,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,RUS,Mercedes,7,6,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,BEA,Ferrari,11,7,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,NOR,McLaren,6,8,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,HAM,Mercedes,8,9,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,HUL,Haas F1 Team,15,10,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,ALB,Williams,12,11,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,MAG,Haas F1 Team,13,12,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,OCO,Alpine F1 Team,17,13,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,SAR,Williams,19,14,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,TSU,RB F1 Team,9,15,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,RIC,RB F1 Team,14,16,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,BOT,Sauber,16,17,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,ZHO,Sauber,20,18,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,STR,Aston Martin,10,19,0
2024,2,Saudi Arabian Grand Prix,2024-03-09,Jeddah Corniche Circuit,GAS,Alpine F1 Team,18,20,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,SAI,Ferrari,2,1,1
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,LEC,Ferrari,4,2,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,NOR,McLaren,3,3,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,PIA,McLaren,5,4,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,PER,Red Bull,6,5,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,STR,Aston Martin,9,6,0
2024,3,Australian Grand Prix,2024-03-24,Albert Park Grand Prix Circuit,TSU,RB F1 Team,8,7,0
