season,round,race_date,race_name,circuit,driver,team,grid_position,finish_position,points
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,MAG,Haas F1 Team,0,10,1.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,LEC,Ferrari,6,11,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,KVY,AlphaTauri,17,12,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,NOR,McLaren,8,13,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,OCO,Renault,14,14,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,RAI,Alfa Romeo,20,15,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,GRO,Haas F1 Team,0,16,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,GIO,Alfa Romeo,19,17,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,RUS,Williams,12,18,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,LAT,Williams,15,19,0.0
2020,3,2020-07-19,Hungarian Grand Prix,Hungaroring,GAS,AlphaTauri,10,20,0.0
