season,round,event_date,event_name,country,location,event_format,driver,driver_number,team,grid_position,finish_position,points,status,winner,podium
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,MAG,20,Haas F1 Team,9.0,13.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,SAI,55,McLaren,14.0,14.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,GIO,99,Alfa Romeo,19.0,15.0,0.0,+1 Lap,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,RUS,63,Williams,17.0,16.0,0.0,+2 Laps,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,KUB,88,Williams,18.0,17.0,0.0,+2 Laps,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,NOR,1,McLaren,15.0,18.0,0.0,Collision,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,KVY,26,Toro Rosso,11.0,19.0,0.0,Collision,0,0
2019,3,2019-04-14,Chinese Grand Prix,China,Shanghai,conventional,HUL,27,Renault,8.0,20.0,0.0,Power Unit,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,BOT,77,Mercedes,1.0,1.0,25.0,Finished,1,1
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,HAM,44,Mercedes,2.0,2.0,18.0,Finished,0,1
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,VET,5,Ferrari,3.0,3.0,15.0,Finished,0,1
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,VER,3,Red Bull,4.0,4.0,12.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,LEC,16,Ferrari,8.0,5.0,11.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,PER,11,Racing Point,5.0,6.0,8.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,SAI,55,McLaren,9.0,7.0,6.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,NOR,1,McLaren,7.0,8.0,4.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,STR,18,Racing Point,13.0,9.0,2.0,Finished,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,RAI,7,Alfa Romeo,0.0,10.0,1.0,+1 Lap,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,ALB,23,Toro Rosso,11.0,11.0,0.0,+1 Lap,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,GIO,99,Alfa Romeo,17.0,12.0,0.0,+1 Lap,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,MAG,20,Haas F1 Team,12.0,13.0,0.0,+1 Lap,0,0
2019,4,2019-04-28,Azerbaijan Grand Prix,Azerbaijan,Baku,conventional,HUL,27,Renault,15.0,14.0,0.0,+1 Lap,0,0
